"Index","Name","Volume","Margulis Number","Geodesic Length 1","Geodesic Length 2","Ortholine Length"
9931,"v3278(-5,2)",5.908970860726586979401534174,1.2166301887073021,(0.914007141397-2.82414161798j),(1.14482083349+2.83953046659j),0.589691917074922
9932,"v3431(-4,1)",5.909065207946384166364442569,1.2265736099152813,(0.464757636972+1.48141403799j),(0.817915229218-3.07085744769j),1.218296757743113
9933,"v3358(1,4)",5.909360187155620467055831333,1.2058339858937102,(0.404864535117+1.53285575387j),(1.02649948967+3.12193044694j),1.066763336427152
9934,"v3347(-2,3)",5.909379384423915644215685880,1.4178043736029107,(0.974369889795+1.38148218177j),(1.41579052025+1.50538683355j),0.705365785076895
9935,"v3394(3,2)",5.909545900236706460306697240,1.22467368896926,(0.401852729072+2.83831595585j),(0.844436485166-2.85575858659j),1.308225930090047
9936,"v3293(-5,1)",5.909689479177451263281074357,1.259776220801655,(0.328380871063+1.06612291926j),(0.667114438602+1.49046741179j),1.733799539970376
9937,"v3314(-1,4)",5.910163151612475072221587319,1.1761077525357528,(0.600969078079-2.85623601818j),(0.856695230658+1.68261067721j),0.989504740887151
9938,"v3276(5,2)",5.910452079835237882684163348,1.1717504792836653,(0.878939567049-2.23823094806j),(0.913074364522-2.05697460142j),0.807374867347638
9939,"v3451(3,1)",5.910484683392397788449237934,1.2541744494936016,(0.472509617386-1.68295675108j),(0.642522232347-2.17160420515j),1.31647481806361
9940,"v3289(-4,3)",5.910865721665558034035282056,1.2190887031437196,(0.439107130694+1.96862379724j),(0.928593201004+3.0351812797j),1.040338541072783
9941,"v3325(-2,3)",5.910921799826970673603721059,1.070358449808875,(0.732616468114+1.65941223811j),(0.732616468114+1.65941223811j),0.971257266630667
9942,"v3280(-1,4)",5.911200970981907423775486646,1.1985851050383103,(0.732384370008-3.14123102586j),(1.16169201469-2.61328893159j),0.607999614667424
9943,"v3349(-3,4)",5.911669338610621365248808916,1.2279388272688121,(0.382101156994+1.68823168231j),(0.714574211785-2.07201513109j),1.291133156465958
9944,"v3301(-3,2)",5.911873397877396568028113453,1.3086351975613937,(0.491689462899+2.27330393485j),(0.666222867976+2.44784759724j),1.232498549968987
9945,"v3327(1,3)",5.912010391024162142845993383,1.3661182730790502,(0.362577567348+2.08315210618j),(1.12771529564+3.09541992113j),1.112777867687156
9946,"v3274(-1,4)",5.912525737370388732797858763,1.2224313535623037,(0.876072452848+2.22841093206j),(1.02191271487+1.86130675861j),0.825857724653661
9947,"v3328(-1,3)",5.913025611788426205340950301,1.2345322813254036,(1.08019785676+1.59213299647j),(1.22732664839+2.31653725725j),0.423934682307838
9948,"v3264(3,4)",5.913386508580615488057614055,1.319695917631899,(0.993845815288+1.58149498598j),(1.31969591763+1.60697277023j),0.390421974820953
9949,"v3301(-2,3)",5.913518650568861435397226377,1.2836011503831934,(0.565636981508-2.08482760636j),(0.682285620069+2.41010538647j),1.204970014628697
9950,"v3265(-5,2)",5.914354620554188162937588626,1.2404563890872891,(0.60066381913-2.0994309384j),(0.626510224368+2.12463155858j),1.189121683365058
9951,"v3278(5,1)",5.914957249659426573813268078,1.2180298135139742,(0.300711253294-1.11207327768j),(1.02034582337+3.10352818881j),1.300815202477057
9952,"v3290(4,1)",5.915103772671787326827462435,1.2622982455938709,(0.623410127104+2.24526755318j),(0.649951029577-2.5936506155j),1.136979665983323
9953,"v3280(-5,2)",5.915427915624044415024593701,1.1241711194109618,(0.744867625796+3.06459836048j),(0.998723485276-2.59313881356j),0.667475032035469
9954,"v3258(7,1)",5.915546625177874761481911557,1.2118849300190138,(0.677272106425+2.4940488224j),(0.677272106425+2.4940488224j),1.030856887670837
9955,"v3465(-3,2)",5.915587098521929718544756605,1.1499400264636286,(0.854563948965-2.78678780865j),(1.08643818546+2.37169277039j),0.568768640454058
9956,"v3277(2,3)",5.915588750784468214469031268,1.1839701679842167,(1.0034506142+2.67045957043j),(1.09275474742+2.14208160104j),0.547298244546746
9957,"v3443(-5,1)",5.915701587716092362612387725,1.2979966909596348,(0.927237790606-2.7044497075j),(0.927237790606-2.7044497075j),0.894430321912033
9958,"v3477(4,1)",5.916745735182788695272260152,1.1874330653931227,(0.490625803049-1.15543956765j),(0.981251606098-2.31087913529j),1.200175914986204
9959,"v3305(-2,3)",5.916883003553365832051219808,1.1810738011585979,(0.739726294046+1.45552014219j),(0.752467436437-2.60557095928j),1.070267852510321
9960,"v3471(-4,1)",5.916901606717830910572143497,1.0902794899350143,(0.897017094464-2.97050887926j),(0.952320743502+2.67171257819j),0.562773448244636
9961,"v3490(4,1)",5.917096857014824694313690359,1.201765833340446,(0.513224784003-1.51121213968j),(0.633612365327+2.24386346929j),1.275859278615093
9962,"v3492(4,1)",5.917096857014824694313690359,1.2978295814213059,(1.15301473051+1.73695957699j),(1.26722473065-1.79545836861j),0.491147077743049
